"COU","Country","VAR","Variable","RISK","Risk","SEX","Sex","AGE","Age","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","ALL","All","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,70.732,,
"AUS","Australia","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","ALL","All","2019","2019","USD","US Dollar","0","Units","2015","2015",321.22,,
"AUS","Australia","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","ALL","All","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,62.442,,
"AUS","Australia","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","ALL","All","2019","2019","USD","US Dollar","0","Units","2015","2015",142.34,,
"AUS","Australia","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","ALL","All","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,79.086,,
"AUS","Australia","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","ALL","All","2019","2019","USD","US Dollar","0","Units","2015","2015",178.88,,
"AUT","Austria","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","ALL","All","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,267.22,,
"AUT","Austria","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","ALL","All","2019","2019","USD","US Dollar","0","Units","2015","2015",1329.79,,
"AUT","Austria","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","ALL","All","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,243.575,,
"AUT","Austria","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","ALL","All","2019","2019","USD","US Dollar","0","Units","2015","2015",615.41,,
"AUT","Austria","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","ALL","All","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,291.606,,
"AUT","Austria","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","ALL","All","2019","2019","USD","US Dollar","0","Units","2015","2015",714.38,,
"BEL","Belgium","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","ALL","All","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,302.814,,
"BEL","Belgium","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","ALL","All","2019","2019","USD","US Dollar","0","Units","2015","2015",1404.38,,
"BEL","Belgium","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","ALL","All","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,264.828,,
"BEL","Belgium","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","ALL","All","2019","2019","USD","US Dollar","0","Units","2015","2015",620.44,,
"BEL","Belgium","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","ALL","All","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,341.591,,
"BEL","Belgium","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","ALL","All","2019","2019","USD","US Dollar","0","Units","2015","2015",783.94,,
"AUS","Australia","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","LESSTHAN15","Less than 15 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,4.644,,
"AUS","Australia","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","LESSTHAN15","Less than 15 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",4.05,,
